,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,Mezen',65.85,44.24,32.86,96,100,6.29,RU,04/17/20
279,Avera,33.19,-82.53,62.6,72,1,4.7,US,04/17/20
280,Sabang,5.89,95.32,83.68,69,93,3.49,ID,04/17/20
281,Laranjeiras do Sul,-25.41,-52.42,50.74,68,23,2.89,BR,04/17/20
282,Atambua,-9.11,124.89,82.81,67,67,2.71,ID,04/17/20
283,Marquette,46.53,-87.63,27.0,82,0,6.93,US,04/17/20
284,Okhotsk,59.38,143.3,22.78,92,100,5.7,RU,04/17/20
285,Diego de Almagro,-26.37,-70.05,58.35,46,0,0.43,CL,04/17/20
286,Freeport,40.66,-73.58,46.4,65,90,9.17,US,04/17/20
287,Kiryat Gat,31.61,34.76,61.0,76,0,2.51,IL,04/17/20
288,Half Moon Bay,37.46,-122.43,55.99,76,90,9.17,US,04/17/20
289,Kiama,-34.68,150.87,71.6,28,0,3.36,AU,04/17/20
290,Karlovasi,37.79,26.7,48.2,81,61,4.45,GR,04/17/20
291,Padang,-0.95,100.35,87.15,62,38,0.49,ID,04/17/20
292,Fujin,47.26,132.03,62.02,30,44,2.15,CN,04/17/20
293,Arrondissement de Saint-Denis,48.92,2.33,62.6,63,98,11.41,FR,04/17/20
294,Bambous Virieux,-20.34,57.76,75.2,83,75,8.05,MU,04/17/20
295,Zemio,5.03,25.14,73.42,75,100,8.01,CF,04/17/20
296,Narsaq,60.92,-46.05,28.4,68,69,10.29,GL,04/17/20
297,Bonthe,7.53,-12.51,80.01,84,100,8.81,SL,04/17/20
298,Sangar,63.92,127.47,18.64,77,0,2.71,RU,04/17/20
299,Sayyan,15.17,44.32,58.98,40,27,1.9,YE,04/17/20
300,Yerbogachën,61.28,108.01,21.92,84,85,10.89,RU,04/17/20
301,Majene,-3.54,118.97,87.89,63,36,4.03,ID,04/17/20
302,Constitución,-35.33,-72.42,59.63,89,1,8.7,CL,04/17/20
303,Keflavik,64.0,-22.56,42.8,87,90,27.51,IS,04/17/20
304,Olinda,-8.01,-34.86,78.8,94,40,3.36,BR,04/17/20
305,Shumskiy,54.83,99.13,36.03,77,100,8.7,RU,04/17/20
306,Santarém,-2.44,-54.71,78.8,94,40,6.93,BR,04/17/20
307,Husavik,66.04,-17.34,42.8,73,0,28.86,IS,04/17/20
308,Thouars,46.98,-0.22,55.99,39,7,1.99,FR,04/17/20
309,Acarí,-15.43,-74.62,73.11,62,65,4.36,PE,04/17/20
310,Makakilo City,21.35,-158.09,84.2,45,1,6.93,US,04/17/20
311,Leningradskiy,69.38,178.42,11.07,94,100,10.42,RU,04/17/20
312,Mulegé,26.88,-111.98,71.19,40,0,3.6,MX,04/17/20
313,City of San Pedro,14.35,121.02,91.99,59,40,6.93,PH,04/17/20
314,Ilulissat,69.22,-51.1,26.6,79,100,4.7,GL,04/17/20
315,Thinadhoo,0.53,72.93,84.79,75,20,8.84,MV,04/17/20
316,Bowen,-20.02,148.23,87.8,55,90,5.82,AU,04/17/20
317,Sarangani,5.4,125.46,83.03,76,24,19.73,PH,04/17/20
318,Adrar,20.5,-10.07,83.28,22,80,10.76,MR,04/17/20
319,Necochea,-38.55,-58.74,61.0,84,2,10.0,AR,04/17/20
320,Sola,-13.88,167.55,82.06,75,89,9.42,VU,04/17/20
321,Kaliua,-5.06,31.79,64.92,69,96,5.21,TZ,04/17/20
322,Tornio,65.85,24.15,33.8,64,100,14.99,FI,04/17/20
323,Pacific Grove,36.62,-121.92,57.2,67,90,4.7,US,04/17/20
324,Clyde River,70.47,-68.59,6.8,84,90,13.87,CA,04/17/20
325,Meulaboh,4.14,96.13,83.88,71,97,3.13,ID,04/17/20
326,Ol'ga,43.74,135.29,49.21,48,70,5.1,RU,04/17/20
327,Chui,-33.7,-53.46,60.62,83,2,5.37,UY,04/17/20
328,Lüderitz,-26.65,15.16,53.6,87,8,2.24,NA,04/17/20
329,Al Bardīyah,31.76,25.09,57.2,78,2,5.19,LY,04/17/20
330,Ponta Delgada,37.73,-25.67,57.2,82,20,4.7,PT,04/17/20
331,Porto-Novo,6.5,2.6,84.2,83,40,11.41,BJ,04/17/20
332,Tautira,-17.73,-149.15,86.0,70,95,5.82,PF,04/17/20
333,Esim,4.87,-2.24,80.69,86,100,9.06,GH,04/17/20
334,Loei,17.42,101.5,86.0,74,20,2.24,TH,04/17/20
335,Ostrovnoy,68.05,39.51,31.59,98,100,12.8,RU,04/17/20
336,Dingle,11.0,122.67,89.1,58,39,13.56,PH,04/17/20
337,Birao,10.28,22.79,72.23,15,64,5.23,CF,04/17/20
338,Price,39.6,-110.81,50.0,25,20,3.36,US,04/17/20
339,Nara,34.69,135.8,64.0,77,75,11.41,JP,04/17/20
340,Tuatapere,-46.13,167.68,60.01,51,34,10.0,NZ,04/17/20
341,Kruisfontein,-34.0,24.73,55.69,84,72,3.2,ZA,04/17/20
342,East London,-33.02,27.91,66.22,84,12,11.32,ZA,04/17/20
343,Sinnamary,5.38,-52.95,79.27,84,94,12.19,GF,04/17/20
344,Boueni,-12.9,45.08,78.8,83,0,3.36,YT,04/17/20
345,Zopilotepe,14.6,-86.27,74.59,49,38,3.24,HN,04/17/20
346,Mpika,-11.83,31.45,61.05,61,93,9.15,ZM,04/17/20
347,Sittwe,20.15,92.9,85.6,60,8,3.09,MM,04/17/20
348,Bulgan,48.81,103.53,48.24,28,19,11.95,MN,04/17/20
349,Shingū,33.73,135.98,62.6,67,75,14.99,JP,04/17/20
350,Porto Velho,-8.76,-63.9,77.0,94,20,2.21,BR,04/17/20
351,Pouébo,-20.4,164.57,81.01,66,100,5.35,NC,04/17/20
352,San Rafael,-34.62,-68.33,68.27,38,91,10.89,AR,04/17/20
353,Luba,3.46,8.55,82.2,77,92,5.44,GQ,04/17/20
354,Norman Wells,65.28,-126.83,39.2,60,90,2.24,CA,04/17/20
355,Saint Anthony,45.02,-93.22,44.6,30,1,5.82,US,04/17/20
356,Eagle Pass,28.71,-100.5,71.6,94,90,9.22,US,04/17/20
357,Tashtyp,52.79,89.9,42.44,54,41,9.86,RU,04/17/20
358,Mbigou,-1.9,11.91,67.51,82,100,1.45,GA,04/17/20
359,Pochutla,15.74,-96.47,82.99,78,22,3.74,MX,04/17/20
360,Anadyr,64.75,177.48,17.6,78,75,4.47,RU,04/17/20
361,Panama City,8.99,-79.52,79.0,70,0,1.01,PA,04/17/20
362,Tura,25.52,90.22,77.02,70,93,5.12,IN,04/17/20
363,Shakiso,5.75,38.92,57.9,59,99,3.0,ET,04/17/20
364,Valle Hermoso,25.67,-97.83,79.0,83,90,8.05,MX,04/17/20
365,Port Hedland,-20.32,118.57,98.6,35,100,5.82,AU,04/17/20
366,Namatanai,-3.67,152.43,83.17,73,98,7.63,PG,04/17/20
367,Rio Grande,-32.03,-52.1,52.0,96,0,8.34,BR,04/17/20
368,Kemijärvi,66.71,27.43,32.4,88,100,15.17,FI,04/17/20
369,Jiaozhou,36.28,120.0,63.0,48,0,6.71,CN,04/17/20
370,Redcliffe,-27.23,153.1,84.2,37,100,16.11,AU,04/17/20
371,Korla,41.76,86.15,63.27,33,86,9.51,CN,04/17/20
372,Rawson,-43.3,-65.1,76.03,44,55,20.49,AR,04/17/20
373,Fukuechō,32.69,128.84,60.8,67,20,12.75,JP,04/17/20
374,Chengde,40.97,117.94,62.98,26,100,1.3,CN,04/17/20
375,La Rioja,42.25,-2.5,50.0,93,75,1.43,ES,04/17/20
376,Hong Kong,22.29,114.16,80.01,69,100,10.0,HK,04/17/20
377,Filingué,14.35,3.32,78.33,14,44,5.57,NE,04/17/20
378,San Jose,37.34,-121.89,59.0,58,75,12.75,US,04/17/20
379,Mahon,39.89,4.27,59.0,100,100,8.05,ES,04/17/20
380,Chu,43.6,73.76,58.21,44,0,2.46,KZ,04/17/20
381,Tabou,4.42,-7.35,80.65,88,98,10.13,CI,04/17/20
382,Acapulco de Juárez,16.86,-99.89,78.8,78,5,2.39,MX,04/17/20
383,Show Low,34.25,-110.03,53.6,27,1,8.05,US,04/17/20
384,Severnoye,56.35,78.36,49.08,76,67,11.52,RU,04/17/20
385,Maragogi,-9.01,-35.22,79.65,81,88,2.93,BR,04/17/20
386,Faya,18.39,42.45,60.8,87,0,6.93,SA,04/17/20
387,Pringsewu,-5.36,104.97,88.54,59,10,2.73,ID,04/17/20
388,Zeya,53.75,127.27,36.86,49,5,7.09,RU,04/17/20
389,Cherskiy,68.75,161.3,10.63,91,49,9.82,RU,04/17/20
390,Vostok,46.49,135.88,48.42,51,100,2.21,RU,04/17/20
391,Kilindoni,-7.91,39.67,83.25,76,100,23.78,TZ,04/17/20
392,Bara,10.37,10.73,77.79,13,0,1.12,NG,04/17/20
393,Mossamedes,-15.2,12.15,73.78,71,81,5.99,AO,04/17/20
394,Kanigoro,-8.13,112.22,84.51,71,22,2.39,ID,04/17/20
395,Fene,43.45,-8.15,55.0,100,5,4.7,ES,04/17/20
396,Werda,-25.27,23.28,67.05,27,0,12.28,BW,04/17/20
397,Santa Cruz,30.42,-9.6,60.8,82,40,5.82,MA,04/17/20
398,Olginskaya,47.19,39.95,41.0,93,86,2.24,RU,04/17/20
399,Marzuq,14.4,46.47,72.21,50,91,5.23,YE,04/17/20
400,Puerto Colombia,10.99,-74.95,80.6,78,0,16.11,CO,04/17/20
401,Port Macquarie,-31.43,152.92,75.99,50,100,1.01,AU,04/17/20
402,Sulina,45.16,29.65,52.43,62,64,5.97,RO,04/17/20
403,Along,28.17,94.77,79.29,44,87,1.03,IN,04/17/20
404,Maceió,-9.67,-35.74,79.36,81,84,2.44,BR,04/17/20
405,Minas,-34.38,-55.24,60.01,100,1,4.7,UY,04/17/20
406,Luwuk,-0.95,122.79,86.88,65,87,1.36,ID,04/17/20
407,Knin,44.04,16.2,48.2,66,25,3.36,HR,04/17/20
408,Taltal,-25.4,-70.48,63.93,73,14,1.99,CL,04/17/20
409,Umluj,25.02,37.27,68.72,59,2,5.82,SA,04/17/20
410,Phra Phutthabat,14.73,100.8,95.0,48,81,7.47,TH,04/17/20
411,Tiznit Province,29.58,-9.5,55.06,66,0,0.49,MA,04/17/20
412,Ranong,9.97,98.63,84.2,79,97,3.36,TH,04/17/20
413,Udachny,66.42,112.4,6.8,55,19,4.47,RU,04/17/20
414,La Palma,33.85,-118.05,61.0,63,1,6.93,US,04/17/20
415,Ballina,-28.87,153.57,77.0,69,40,6.93,AU,04/17/20
416,Xining,36.62,101.77,55.56,16,0,2.82,CN,04/17/20
417,Lucea,18.45,-78.17,80.6,78,20,8.05,JM,04/17/20
418,Shimoda,34.67,138.95,63.0,93,75,34.45,JP,04/17/20
419,Nabire,-3.37,135.48,89.26,59,66,5.84,ID,04/17/20
420,Reyes,-14.32,-67.38,66.83,71,30,2.82,BO,04/17/20
421,Camacha,33.08,-16.33,59.0,77,20,6.93,PT,04/17/20
422,Tottori-shi,35.5,134.23,60.8,72,75,26.4,JP,04/17/20
423,Agadez,19.75,10.25,75.76,14,0,4.94,NE,04/17/20
424,Ponta do Sol,32.67,-17.1,55.99,68,12,4.0,PT,04/17/20
425,Médéa,36.26,2.75,62.6,93,75,4.7,DZ,04/17/20
426,Denpasar,-8.65,115.22,87.3,64,25,1.12,ID,04/17/20
427,Rome,43.21,-75.46,34.0,86,90,4.7,US,04/17/20
428,Pacifica,37.61,-122.49,55.99,66,75,14.99,US,04/17/20
429,Kumul,42.8,93.45,66.67,19,22,6.11,CN,04/17/20
430,Sigiriya,7.95,80.74,82.53,69,47,4.83,LK,04/17/20
431,Jiehu,35.54,118.45,65.26,37,45,9.4,CN,04/17/20
432,Chickasha,35.05,-97.94,42.8,81,1,6.93,US,04/17/20
433,Iqaluit,63.75,-68.51,6.8,84,75,4.7,CA,04/17/20
434,Balclutha,-46.23,169.75,55.0,80,91,20.0,NZ,04/17/20
435,Nkhotakota,-12.93,34.3,74.59,66,10,10.22,MW,04/17/20
436,Ixtapa,20.7,-105.2,75.2,78,5,3.27,MX,04/17/20
437,Smithers,54.78,-127.17,55.4,58,40,8.05,CA,04/17/20
438,Oodweyne,9.41,45.06,72.72,57,16,8.1,SO,04/17/20
439,Eyl,7.98,49.82,82.31,78,8,10.18,SO,04/17/20
440,Totness,5.88,-56.32,79.74,83,100,11.88,SR,04/17/20
441,Deputatsky,69.3,139.9,-2.02,82,9,3.06,RU,04/17/20
442,Montgomery,39.15,-77.2,50.0,81,90,5.82,US,04/17/20
443,Grand Forks,47.93,-97.03,43.0,56,40,11.41,US,04/17/20
444,Pecos,31.42,-103.49,57.2,46,1,8.05,US,04/17/20
445,Erzin,36.96,36.2,62.01,100,0,2.24,TR,04/17/20
446,Itacarambi,-15.1,-44.09,70.68,79,2,2.91,BR,04/17/20
447,Pandan,14.05,124.17,83.52,75,94,7.07,PH,04/17/20
448,Ongandjera,-17.88,15.07,74.44,35,52,6.33,NA,04/17/20
449,Zakamensk,50.37,103.29,40.84,41,58,9.22,RU,04/17/20
450,Siaya,0.06,34.29,63.54,64,100,6.85,KE,04/17/20
451,Houma,29.6,-90.72,73.99,94,1,4.7,US,04/17/20
452,Yangi Marg`ilon,40.43,71.72,60.8,58,30,2.24,UZ,04/17/20
453,Brigantine,39.41,-74.36,51.8,62,90,13.87,US,04/17/20
454,Atar,20.52,-13.05,69.31,29,4,4.54,MR,04/17/20
455,Boddam,57.47,-1.78,41.0,78,90,5.82,GB,04/17/20
456,Salalah,17.02,54.09,78.8,69,40,3.36,OM,04/17/20
457,Shakawe,-18.37,21.85,67.84,44,11,2.91,BW,04/17/20
458,‘Ewa Beach,21.32,-158.01,84.2,45,1,6.93,US,04/17/20
459,Banda Aceh,5.56,95.32,85.03,69,92,3.29,ID,04/17/20
460,Mareeba,-17.0,145.43,88.0,68,98,1.99,AU,04/17/20
461,Touros,-5.2,-35.46,77.0,94,20,8.28,BR,04/17/20
462,Mitsamiouli,-11.38,43.28,83.82,70,0,11.34,KM,04/17/20
463,Karratha,-20.74,116.85,92.41,35,74,4.29,AU,04/17/20
464,Taozhuang,34.85,117.33,65.35,39,91,8.66,CN,04/17/20
465,Beloha,-25.17,45.05,69.04,71,0,2.3,MG,04/17/20
466,Roald,62.58,6.13,34.0,92,4,5.82,NO,04/17/20
467,Ahmadpur East,29.14,71.26,75.16,57,37,13.91,PK,04/17/20
468,Amarante do Maranhão,-5.57,-46.74,72.01,91,100,2.73,BR,04/17/20
469,Lábrea,-7.26,-64.8,73.54,94,23,1.72,BR,04/17/20
470,Damāvand,35.72,52.06,51.8,66,20,2.01,IR,04/17/20
471,Khani,41.96,42.96,39.2,100,92,2.24,GE,04/17/20
472,Aguçadoura,41.43,-8.78,55.4,93,75,5.82,PT,04/17/20
473,La Santisima Trinidad,-14.83,-64.9,65.05,65,95,2.86,BO,04/17/20
474,Key West,24.56,-81.78,82.4,83,40,3.36,US,04/17/20
475,Kargopol',61.51,38.95,29.41,97,86,7.11,RU,04/17/20
476,Vanavara,60.34,102.28,27.73,87,86,8.23,RU,04/17/20
477,Sur,22.57,59.53,79.23,75,0,6.15,OM,04/17/20
478,Huangnihe,43.56,128.02,56.46,42,67,2.57,CN,04/17/20
479,Casay,9.82,123.55,89.6,66,40,11.41,PH,04/17/20
480,Chik,54.99,82.43,50.0,46,1,8.95,RU,04/17/20
481,Cabedelo,-6.98,-34.83,78.8,94,20,2.93,BR,04/17/20
482,Kununurra,-15.77,128.73,96.8,37,30,5.82,AU,04/17/20
483,São Filipe,14.9,-24.5,70.12,76,0,18.5,CV,04/17/20
484,Waukegan,42.36,-87.84,37.99,74,4,8.97,US,04/17/20
485,Tucupita,9.06,-62.05,72.88,87,13,4.52,VE,04/17/20
486,Tcholliré,8.4,14.17,79.93,17,16,2.24,CM,04/17/20
487,Porto Murtinho,-21.7,-57.88,62.35,49,30,4.63,BR,04/17/20
488,Savannah Bight,16.45,-85.85,81.86,79,0,26.75,HN,04/17/20
489,Lloret de Mar,41.7,2.85,57.99,93,100,3.36,ES,04/17/20
490,Martvili,42.41,42.38,39.2,100,100,2.24,GE,04/17/20
491,Gunjur,13.2,-16.73,71.6,83,17,9.17,GM,04/17/20
492,Sikasso,10.92,-7.0,83.01,18,16,5.01,ML,04/17/20
493,Turiaçu,-1.66,-45.37,75.07,94,100,2.04,BR,04/17/20
494,Sørland,67.67,12.69,38.82,94,100,16.13,NO,04/17/20
495,São Miguel do Araguaia,-13.28,-50.16,72.28,83,17,1.99,BR,04/17/20
496,Coos Bay,43.37,-124.22,54.0,81,1,13.87,US,04/17/20
497,Inírida,3.87,-67.92,75.11,79,84,1.36,CO,04/17/20
498,Honiara,-9.43,159.95,78.8,94,90,5.82,SB,04/17/20
499,Qaqortoq,60.72,-46.03,28.4,68,85,10.29,GL,04/17/20
500,Paraíso,9.84,-83.87,64.99,89,44,7.0,CR,04/17/20
501,Terrasini,38.15,13.08,57.0,87,37,5.3,IT,04/17/20
502,Jizan,17.33,42.67,84.2,70,9,3.36,SA,04/17/20
503,Cap Malheureux,-19.98,57.61,75.2,83,75,8.05,MU,04/17/20
504,Ingham,42.6,-84.38,34.0,90,90,5.35,US,04/17/20
505,Christchurch,-43.53,172.63,69.01,40,2,12.75,NZ,04/17/20
506,Rocha,-34.48,-54.33,56.98,91,0,4.68,UY,04/17/20
507,Petrovsk,52.31,45.39,34.39,82,26,12.1,RU,04/17/20
508,Mount Isa,-20.73,139.5,93.2,18,9,6.93,AU,04/17/20
509,George Town,5.41,100.34,89.6,79,20,4.7,MY,04/17/20
510,Bereda,43.27,-7.54,45.0,1,3,3.85,ES,04/17/20
511,Ilebo,-4.32,20.58,70.9,85,84,0.72,CD,04/17/20
512,Manitouwadge,49.12,-85.84,23.81,93,7,8.19,CA,04/17/20
513,Yueyang,29.33,113.09,58.24,92,100,6.93,CN,04/17/20
514,Malartic,48.13,-78.13,32.0,96,75,6.93,CA,04/17/20
515,Bitung,1.45,125.18,87.8,66,40,10.29,ID,04/17/20
516,Kuusamo,65.97,29.18,32.0,89,90,16.11,FI,04/17/20
517,Trairi,-3.28,-39.27,78.04,83,49,2.89,BR,04/17/20
518,Baturaja,-4.13,104.17,88.45,62,46,1.59,ID,04/17/20
519,Comodoro Rivadavia,-45.87,-67.5,66.2,55,77,11.41,AR,04/17/20
520,Hushitai,41.93,123.51,64.4,45,0,2.24,CN,04/17/20
521,Shache,38.42,77.24,52.95,53,100,5.53,CN,04/17/20
522,Sandwick,60.0,-1.25,39.2,62,0,4.7,GB,04/17/20
523,Calbuco,-41.77,-73.13,59.0,93,90,3.09,CL,04/17/20
524,Kholtoson,50.3,103.31,40.6,39,48,9.4,RU,04/17/20
525,Caher,52.38,-7.92,50.0,91,100,5.01,IE,04/17/20
526,Jacareacanga,-6.22,-57.75,73.06,94,65,2.39,BR,04/17/20
527,Halifax,44.65,-63.57,35.01,51,16,1.99,CA,04/17/20
528,Coahuayana Viejo,18.73,-103.68,75.74,55,47,2.98,MX,04/17/20
529,Suntar,62.14,117.63,17.92,85,100,6.8,RU,04/17/20
530,Bonavista,48.65,-53.11,28.0,76,73,7.0,CA,04/17/20
531,Namuac,18.61,121.17,87.1,60,52,3.33,PH,04/17/20
532,Srednekolymsk,67.45,153.68,5.32,92,100,13.04,RU,04/17/20
533,Kindu,-2.95,25.95,67.6,84,99,1.19,CD,04/17/20
534,Austin,30.27,-97.74,57.2,76,90,8.05,US,04/17/20
535,Natal,-5.79,-35.21,78.8,94,20,4.7,BR,04/17/20
536,Marystown,47.17,-55.15,31.06,90,43,12.46,CA,04/17/20
537,Şile,41.18,29.61,53.01,49,0,1.01,TR,04/17/20
538,Kishtwār,33.32,75.77,51.67,37,100,3.09,IN,04/17/20
539,Villeta,5.01,-74.47,53.6,76,63,2.24,CO,04/17/20
540,Mildura,-34.2,142.15,64.99,39,100,8.05,AU,04/17/20
541,Baruun-Urt,46.68,113.28,60.12,20,100,24.92,MN,04/17/20
542,Susanville,40.42,-120.65,59.0,38,90,8.05,US,04/17/20
543,Wellington,-41.29,174.78,64.4,63,9,20.8,NZ,04/17/20
544,Santo Niño,6.43,124.7,95.0,36,20,6.93,PH,04/17/20
545,Moyale,3.52,39.06,68.34,63,74,3.78,KE,04/17/20
546,Aykhal,66.0,111.5,6.8,55,19,4.47,RU,04/17/20
547,Senanga,-16.12,23.27,69.1,49,64,4.63,ZM,04/17/20
548,Timizart,36.8,4.27,63.3,72,100,1.81,DZ,04/17/20
549,Bethanien,-26.5,17.16,55.71,30,0,0.65,NA,04/17/20
550,Keti Bandar,24.14,67.45,81.72,73,0,10.8,PK,04/17/20
551,Imbituba,-28.24,-48.67,66.2,77,16,8.05,BR,04/17/20
552,Watford,51.66,-0.4,48.0,87,100,8.05,GB,04/17/20
553,Nioro,13.35,-15.75,73.6,34,0,11.54,GM,04/17/20
554,Vittorio Veneto,45.98,12.3,51.01,80,43,1.99,IT,04/17/20
555,Camaná,-16.62,-72.71,71.33,75,95,7.2,PE,04/17/20
556,Takoradze,4.88,-1.76,80.89,85,100,9.6,GH,04/17/20
557,Hastings,50.86,0.57,46.0,94,100,1.01,GB,04/17/20
558,Tabora,-5.02,32.8,63.52,65,69,6.22,TZ,04/17/20
559,Namikupa,-10.83,39.6,69.39,90,27,3.98,TZ,04/17/20
